Country,Sub Region 1,Sub Region 2,Country_Code,female_unpaid_domestic_work,male_unpaid_domestic_work,Wife_decision_health,Wife_decision_household_purchase,Women_in_food_decision,death_injury_15_34_female,death_injury_15_34_male,death_injury_35_59_female,death_injury_35_59_male,female_mortality_poisonning,male_mortality_poisonning,female_mortality_air_pollution,male_mortality_air_pollution,cooking_inside,cooking_outdoors,fuel_crops,fuel_charcoal,fuel_dung,fuel_electricity,fuel_gas,fuel_straw,fuel_wood,clean_fuel
St. Kitts and Nevis,Caribbean Countries,Caribbean Countries,KNA,,,,,,,,,,,,,,,,,,,,,,,100
St. Lucia,Caribbean Countries,Caribbean Countries,LCA,,,,,,23.7,58.4,6.7,23.7,0.2,0.2,25,36,,,,,,,,,,97.23
St. Vincent and the Grenadines,Caribbean Countries,Caribbean Countries,VCT,,,,,,14.5,44.4,3.6,14.5,0.2,0.2,40,56,,,,,,,,,,95.98
Sudan,North Africa,Arab States,SDN,,,,,,20.3,56.4,6.5,20.3,2.9,5,175,196,,,,,,,,,,41.29
Suriname,Caribbean Countries,Caribbean Countries,SUR,,,,,,27.6,58.2,7.8,27.6,0.3,0.4,42,74,,,,,,,,,,89.61
Swaziland,Africa (Sub-Saharan),South Africa,SWZ,,,36.2,18.9,,9.7,36,4.8,9.7,3.4,3.2,124,157,47.4,9.5,,0.4,,18.7,16,,56.7,49.7
Sweden,Western Europe,Nordic Countries,SWE,15.97,12.64,,,,40.6,52.1,10.6,40.6,0.3,0.5,6,9,,,,,,,,,,100
Switzerland,Western Europe,Western Europe,CHE,17.64,10.76,,,,38.9,52.9,11.6,38.9,0.1,0.1,8,13,,,,,,,,,,100
Syria Arab Republic,Middle East,Arab States,SYR,,,,,,84.9,94.5,47.6,84.9,0.4,0.4,62,90,,,,,,,,,,99.02
"Taiwan, Province of China",East Asia,East Asia,TWN,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,Central Asia,Central Asia,TJK,,,14.5,7.9,,21.3,46.3,6.8,21.3,0.9,1.4,115,145,25.7,3.6,2,0,5.3,52.3,18.2,0.9,21,80.41
Tanzania,Africa (Sub-Saharan),East Africa,TZA,16.53,,15.7,7.6,78.6,12.6,31.6,7.5,12.6,2.2,3.2,135,143,34.2,20.1,0,27.9,0,0.1,4.1,0,64.8,2.16
Thailand,East Asia,East Asia,THA,3.4,12.78,,,,31,61,9.1,31,0.3,0.5,47,79,,,,,,,,,,74.43
Timor-Leste,East Asia,East Asia,TLS,,,22.8,20.9,,22.6,45.6,5,22.6,0.4,0.5,130,150,11.8,76,0,0,,8.2,0.9,0,86.4,6.92
Togo,Africa (Sub-Saharan),West Africa,TGO,,,11.6,14.3,,14.6,37.2,7.1,14.6,1.8,3,234,267,9.5,65.5,0,37.6,0,0.3,8.8,0.3,51.8,6.71
Tokelau,Pacific Islands,Polynesia,TKL,,,,,,,,,,,,,,,,,,,,,,,
Tonga,Pacific Islands,Polynesia,TON,,,,,,24.2,43.5,4.6,24.2,1.2,1.5,48,107,,,,,,,,,,59.17
Trinidad and Tobago,Caribbean Countries,Caribbean Countries,TTO,,,,,,32.1,66.4,6.6,32.1,0.2,0.3,30,49,,,,,,,,,,99.26
Tunisia,North Africa,Arab States,TUN,2.71,21.94,,,,28.6,67.9,9.1,28.6,0.4,0.5,42,72,,,,,,,,,,99.1
Turkey,Middle East,Other Middle Eastern Countries,TUR,3.68,19.17,,,,25.3,51.7,4.9,25.3,0.2,0.4,29,69,,,,,,,,,,
Turkmenistan,Central Asia,Central Asia,TKM,,,40.3,7.2,86.1,21.7,42.1,4.3,21.7,0.6,0.9,63,100,,,,0,,0.5,99.1,,0.3,99.32
Tuvalu,Pacific Islands,Polynesia,TUV,,,,,,,,,,,,,,,,,,,,,,,50.42
U.S.,U.S. & Canada,USA,USA,15.9,9.79,,,,35.2,54.4,8.8,35.2,0.8,1,10,17,,,,,,,,,,100
Uganda,Africa (Sub-Saharan),East Africa,UGA,,,23.3,16.2,89.1,15.2,33.7,8.1,15.2,2.4,4,155,156,11,24.2,0,25.4,0,0.4,0.6,0.3,69.4,0.77
Ukraine,Eastern Europe,Eastern Europe,UKR,,,64.2,16.1,,20.9,44.2,7.1,20.9,1.1,4.3,51,100,83.9,0.1,,0.1,,8,87.7,,2.5,95.73
United Arab Emirates,Middle East,Arab States,ARE,,,,,,25.9,55.4,6.7,25.9,0.3,0.2,45,59,,,,,,,,,,98.51
United Kingdom,Western Europe,Western Europe,GBR,14.72,8.06,,,,25.2,43.5,6.4,25.2,0.2,0.3,11,17,,,,,,,,,,100
Uruguay,Latin America,South America,URY,20.14,8.54,,,,41.7,73,9.3,41.7,0.3,0.6,12,25,,,,,,,,,,97.97
Uzbekistan,Central Asia,Central Asia,UZB,,,,,,26.2,42.4,4.6,26.2,0.5,1.5,66,100,,,,,,,,,,92.1
Vanuatu,Pacific Islands,Melanesia,VUT,,,,,,24.3,47.1,4.5,24.3,0.4,1.3,111,162,,,,,,,,,,12.57
Vatican,Western Europe,Western Europe,N/A,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,Latin America,South America,VEN,,,,,,36.2,80.8,8.7,36.2,0.2,0.4,26,45,,,,,,,,,,96.16
Vietnam,East Asia,East Asia,VNM,,,,,,33.4,59.9,9.1,33.4,0.1,1.7,43,95,,,,,,0.9,30.5,11.1,46.4,66.92
Virgin Islands,Caribbean Countries,Caribbean Countries,VIR,,,,,,,,,,,,,,,,,,,,,,,
West Bank & Gaza,Middle East,Other Middle Eastern Countries,PSE,19.17,3.06,,,,,,,,,,,,,,,,,,,,,
Yemen,Middle East,Arab States,YMN,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Africa (Sub-Saharan),East Africa,ZMB,,,31.7,11.7,,11.4,27.5,5.9,11.4,2.1,3.8,121,134,26.4,38,0,37.1,0.1,12.3,0,0.2,50.2,16.43
Zimbabwe,Africa (Sub-Saharan),East Africa,ZWE,,,34.2,27.5,91.2,10.2,39,5.4,10.2,2.3,2.2,133,133,45.5,15.7,0,0.2,0.1,25.7,3.3,0.1,67.7,29.05
